"long","lat","CTPRV_NM","SGNG_NM","X2019.05","X2019.06","X2019.07","X2019.08","X2019.09","X2019.10","X2019.11","X2019.12","X2020.01","X2020.02","X2020.03","X2020.04","X2020.05","X2020.06","X2020.07","X2020.08","X2020.09","X2020.10","X2020.11","X2020.12","X2021.01","X2021.02","X2021.03","X2021.04","X2021.05","X2021.06","X2021.07","X2021.08","X2021.09","X2021.10","X2021.11","X2021.12","X2022.01","X2022.02","X2022.03","X2022.04","X2022.05","X2022.06","X2022.07","X2022.08","X2022.09","X2022.10","X2022.11","mu1","mu2","mu3","mu4","mu5","mu6","mu7","mu8","mu9","mu10","mu11","mu12","mu13","mu14","mu15","mu16","mu17","mu18","mu19","mu20","mu21","mu22","mu23","mu24","mu25","mu26","mu27","mu28","mu29","mu30","mu31","mu32","mu33","mu34","mu35","mu36","mu37","mu38","mu39","mu40","mu41","mu42","mu43","sigma2_1","sigma2_2","sigma2_3","sigma2_4","sigma2_5","sigma2_6","sigma2_7","sigma2_8","sigma2_9","sigma2_10","sigma2_11","sigma2_12","sigma2_13","sigma2_14","sigma2_15","sigma2_16","sigma2_17","sigma2_18","sigma2_19","sigma2_20","sigma2_21","sigma2_22","sigma2_23","sigma2_24","sigma2_25","sigma2_26","sigma2_27","sigma2_28","sigma2_29","sigma2_30","sigma2_31","sigma2_32","sigma2_33","sigma2_34","sigma2_35","sigma2_36","sigma2_37","sigma2_38","sigma2_39","sigma2_40","sigma2_41","sigma2_42","sigma2_43"
128.855660060357,37.7077458761899,"강원도","강릉",21,16,14,12,10,13,19,17,14,19,16,15,12,18,8,11,11,14,19,24,12,17,16,13,14,10,9,6,5,8,14,11,15,16,19,15,14,9,7,11,10,14,19,20.8084743265189,15.2291806863688,14.5260838263768,13.8831171723338,9.11070108461637,12.0620007410903,17.6465934174349,16.4780780400432,14.9580136720291,18.2425584461617,16.2925045858315,15.6656701343981,13.0884242385453,18.5048967483103,8.27461553116204,10.1988031485678,9.35511643574827,12.9319892917635,16.4436829249742,22.1176167291896,14.8591509737036,18.1624591394657,16.1649671782387,13.7123056622574,14.1765027287416,11.9089052918601,10.1142976675477,9.30473937451288,6.16663505250561,8.99186913893564,14.7188015712569,13.5866925530226,16.7290289882685,17.0003865459394,17.24609365711,15.5781018713327,15.2944290885281,10.5866491556847,8.69695725052422,9.01058700907494,7.70862983348686,10.6797700352206,15.6675528733476,3.45403874448199,3.29002061133469,2.92848442042282,2.38195948725036,2.26443700271572,2.86222262042185,4.32840579930927,5.65391427602022,5.81248671664206,5.01841711662422,4.15132989256757,3.64188074311718,3.42903207801256,3.42009763394213,3.00636822547263,2.39429432244387,2.27044232234173,2.87486623543975,4.3294275408041,5.7129615614725,5.6321403061531,4.91136522387172,4.18428239098978,3.59416164933459,3.42132872846374,3.31791265716683,2.91308350479317,2.33356397178637,2.23351733581961,2.83881558039908,4.25738951916342,5.59088890196807,5.76864432869566,4.95151924995561,4.12851927777284,3.69202155237647,3.39894019967499,3.26618988641879,2.90300697550074,2.36737630823734,2.25295030429726,2.87906885374892,4.36899842615815
128.359161608238,38.5133181571618,"강원도","고성",19,13,12,13,8,11,13,19,15,19,16,15,10,14,7,8,8,13,15,19,15,21,17,15,13,11,11,10,6,9,16,15,20,21,18,18,15,11,9,8,7,8,16,20.3322539734501,14.4947160794054,12.2620201855457,13.874268915164,8.54691947905286,11.3152830507022,13.0783133507657,17.3988620538802,14.9989703934125,18.448591147335,16.5309593824709,15.712938256606,12.9973089318305,14.448708972895,8.22974237199634,10.0224220610445,9.05783228194991,12.9235424087639,15.1873040437901,17.6493287837336,15.201727194736,18.7796575298061,16.2009155021874,13.9668090204247,14.02885984877,11.9438709190989,10.540994740943,9.50708141210327,6.16620248077417,9.0466310028848,14.8813989694199,13.6986890477648,17.6117527359772,19.0105237237255,17.2467279006389,15.6187144508116,15.3336619919862,10.6338075229181,8.76868436784286,8.00661374188013,6.97394429241162,7.58905277692303,15.3319914696315,3.45403874448199,3.29002061133469,2.92848442042282,2.38195948725036,2.26443700271572,2.86222262042185,4.32840579930927,5.65391427602022,5.81248671664206,5.01841711662422,4.15132989256757,3.64188074311718,3.42903207801256,3.42009763394213,3.00636822547263,2.39429432244387,2.27044232234173,2.87486623543975,4.3294275408041,5.7129615614725,5.6321403061531,4.91136522387172,4.18428239098978,3.59416164933459,3.42132872846374,3.31791265716683,2.91308350479317,2.33356397178637,2.23351733581961,2.83881558039908,4.25738951916342,5.59088890196807,5.76864432869566,4.95151924995561,4.12851927777284,3.69202155237647,3.39894019967499,3.26618988641879,2.90300697550074,2.36737630823734,2.25295030429726,2.87906885374892,4.36899842615815
129.08991377797,37.5193753014703,"강원도","동해",22,18,18,14,11,11,15,17,15,20,18,17,14,17,10,19,15,16,17,17,15,20,19,17,17,20,15,14,8,10,19,14,18,18,30,19,14,10,11,9,6,5,14,21.2767770751411,17.673624118952,15.6459596875231,14.5019385079014,10.6056478560864,11.6330151478224,14.2462987516278,16.4978241476835,15.1059063630025,18.3643209909232,16.8892221814923,15.9813327398458,13.1717793706086,17.1997022537764,8.57535759920076,17.1612174485617,14.1403945818707,13.0808190739567,15.451067645275,16.3377719238218,15.3743492721381,18.154683251102,16.28271904346,14.3158678476282,15.4632423526243,18.7352419082126,14.1178185475462,11.9670468339429,6.61034525140801,9.41382069461236,15.344073773155,13.5347414309067,16.9437219903668,17.3794559793427,27.7861310919539,15.6997716825797,15.325993674918,10.7537756835234,9.30321793314207,8.2652208228675,6.9453523438879,7.3946861786523,15.3368790292277,3.45403874448199,3.29002061133469,2.92848442042282,2.38195948725036,2.26443700271572,2.86222262042185,4.32840579930927,5.65391427602022,5.81248671664206,5.01841711662422,4.15132989256757,3.64188074311718,3.42903207801256,3.42009763394213,3.00636822547263,2.39429432244387,2.27044232234173,2.87486623543975,4.3294275408041,5.7129615614725,5.6321403061531,4.91136522387172,4.18428239098978,3.59416164933459,3.42132872846374,3.31791265716683,2.91308350479317,2.33356397178637,2.23351733581961,2.83881558039908,4.25738951916342,5.59088890196807,5.76864432869566,4.95151924995561,4.12851927777284,3.69202155237647,3.39894019967499,3.26618988641879,2.90300697550074,2.36737630823734,2.25295030429726,2.87906885374892,4.36899842615815
129.171595679961,37.294568722844,"강원도","삼척",19,17,17,13,10,11,10,14,14,17,14,14,12,15,9,13,10,12,13,12,9,15,14,12,12,13,9,8,6,7,14,12,16,17,21,17,14,12,8,7,9,13,13,20.1820434802466,16.8970840458018,15.6133013299617,14.3896542557594,9.86269514113354,11.7597501719037,12.1983463879359,16.4573471551515,15.0574073743447,18.1720399038521,15.7947774615879,15.4481104872341,13.062563765427,14.4828860310912,8.47813419879339,12.118312047997,9.16319659367673,12.8853687055371,15.1029899635901,15.8889911318823,13.3521213585466,18.0250002210812,16.0634356640643,13.7111749670495,13.9203839743264,12.6204816199811,10.0690955606213,9.44169529662316,6.1991291565293,8.95442953499494,14.6703298147788,13.6900327458018,16.8457735853026,17.3927307568211,17.5685052842906,15.6008022690235,15.312161901552,11.3603938262453,8.80436659596741,8.01980530782395,7.33244097498118,10.4971723674548,15.3669413470191,3.45403874448199,3.29002061133469,2.92848442042282,2.38195948725036,2.26443700271572,2.86222262042185,4.32840579930927,5.65391427602022,5.81248671664206,5.01841711662422,4.15132989256757,3.64188074311718,3.42903207801256,3.42009763394213,3.00636822547263,2.39429432244387,2.27044232234173,2.87486623543975,4.3294275408041,5.7129615614725,5.6321403061531,4.91136522387172,4.18428239098978,3.59416164933459,3.42132872846374,3.31791265716683,2.91308350479317,2.33356397178637,2.23351733581961,2.83881558039908,4.25738951916342,5.59088890196807,5.76864432869566,4.95151924995561,4.12851927777284,3.69202155237647,3.39894019967499,3.26618988641879,2.90300697550074,2.36737630823734,2.25295030429726,2.87906885374892,4.36899842615815
128.566307400416,38.1934308543285,"강원도","속초",21,16,15,13,7,8,9,14,9,17,17,15,11,16,9,9,8,11,13,2,10,18,18,16,16,19,12,10,5,6,11,9,13,13,14,13,10,8,9,8,8,12,10,21.1436459290943,15.0379093616932,14.4157376885044,13.854300019583,8.50013544877531,10.8919442459429,12.0135802426089,16.4339996701487,14.8151007439741,18.1601595335577,16.7596363931435,15.7217337814795,13.0051054842061,16.8360368397229,8.2400798036693,10.0507302434271,9.08866127730254,12.802552681346,14.9812214163563,6.33873497812481,13.466300300442,18.1343158963974,16.2454481251783,13.9905252808979,14.965664868935,18.3993068121122,10.7084252087746,9.47698173884893,6.12655593271455,8.65997155862407,14.4213856002787,13.5848904603675,16.5939025275625,16.8457478167263,16.8921338868435,15.5754990606399,15.3238738461089,10.5509534726248,8.75272110359659,8.07773046315435,6.97437025209174,9.86774673634696,15.2544832509449,3.45403874448199,3.29002061133469,2.92848442042282,2.38195948725036,2.26443700271572,2.86222262042185,4.32840579930927,5.65391427602022,5.81248671664206,5.01841711662422,4.15132989256757,3.64188074311718,3.42903207801256,3.42009763394213,3.00636822547263,2.39429432244387,2.27044232234173,2.87486623543975,4.3294275408041,5.7129615614725,5.6321403061531,4.91136522387172,4.18428239098978,3.59416164933459,3.42132872846374,3.31791265716683,2.91308350479317,2.33356397178637,2.23351733581961,2.83881558039908,4.25738951916342,5.59088890196807,5.76864432869566,4.95151924995561,4.12851927777284,3.69202155237647,3.39894019967499,3.26618988641879,2.90300697550074,2.36737630823734,2.25295030429726,2.87906885374892,4.36899842615815
128.030593387564,38.2365519435417,"강원도","양구",22,15,13,13,9,13,20,28,24,24,21,19,14,17,8,9,8,15,20,24,20,26,23,16,15,13,11,10,6,10,20,19,26,25,23,17,13,10,7,6,6,7,16,21.4047041655157,14.7857649050927,12.5196245539391,13.8677657174224,8.70430738519279,12.2753304249716,19.8408298715085,28.2513806566965,25.3183491962631,23.8964539679406,20.3674399964155,18.6472624487461,13.2611707584689,17.6803225161909,8.35356383906049,10.0875203112995,9.11668225973374,13.8283310136966,20.9774428117237,24.4106555889184,20.6814796197268,26.7491220579681,24.8861284063337,14.7939774403136,14.304234489291,12.4009825746097,10.5579473004192,9.60461615158158,6.13733867013549,9.4706868305086,20.5915267945265,20.9886182941409,25.5936826501107,24.8064279855442,21.4813696953711,15.6159254835007,15.2793084059588,10.6534867313292,8.70075278245462,8.02295439390745,7.00038385861392,7.58456102138077,15.4267470524614,3.45403874448199,3.29002061133469,2.92848442042282,2.38195948725036,2.26443700271572,2.86222262042185,4.32840579930927,5.65391427602022,5.81248671664206,5.01841711662422,4.15132989256757,3.64188074311718,3.42903207801256,3.42009763394213,3.00636822547263,2.39429432244387,2.27044232234173,2.87486623543975,4.3294275408041,5.7129615614725,5.6321403061531,4.91136522387172,4.18428239098978,3.59416164933459,3.42132872846374,3.31791265716683,2.91308350479317,2.33356397178637,2.23351733581961,2.83881558039908,4.25738951916342,5.59088890196807,5.76864432869566,4.95151924995561,4.12851927777284,3.69202155237647,3.39894019967499,3.26618988641879,2.90300697550074,2.36737630823734,2.25295030429726,2.87906885374892,4.36899842615815
128.69171892651,38.0055069283458,"강원도","양양",19,14,12,12,8,11,13,15,16,19,16,15,11,14,7,9,8,11,14,17,12,18,16,12,10,10,8,8,4,7,13,13,18,18,16,15,13,9,7,7,6,5,13,20.2333192802489,14.6030126462856,12.4282142394644,13.6700033402593,8.54794440513842,11.3234067642108,13.1619749777259,16.4998931059417,15.05618947616,18.2345071138828,16.4239622644186,15.6708868862509,13.0109809728234,14.4049542469598,8.23745552773449,10.0947137834366,9.08970978905929,12.8330263479444,15.1480637781664,16.4476672897116,14.699465757279,18.1228664447183,16.1880595501756,13.74028315931,13.8634493124525,11.895523231165,10.1016090012246,9.3439114296206,6.1117799048623,8.74627747352836,14.6168891071532,13.5882721585789,16.7796258978962,17.1294367084909,17.0235103905341,15.632404209476,15.3093594689564,10.5785763244646,8.72491154310487,7.9905674151924,6.96525148693267,7.38125252027701,15.2806698896935,3.45403874448199,3.29002061133469,2.92848442042282,2.38195948725036,2.26443700271572,2.86222262042185,4.32840579930927,5.65391427602022,5.81248671664206,5.01841711662422,4.15132989256757,3.64188074311718,3.42903207801256,3.42009763394213,3.00636822547263,2.39429432244387,2.27044232234173,2.87486623543975,4.3294275408041,5.7129615614725,5.6321403061531,4.91136522387172,4.18428239098978,3.59416164933459,3.42132872846374,3.31791265716683,2.91308350479317,2.33356397178637,2.23351733581961,2.83881558039908,4.25738951916342,5.59088890196807,5.76864432869566,4.95151924995561,4.12851927777284,3.69202155237647,3.39894019967499,3.26618988641879,2.90300697550074,2.36737630823734,2.25295030429726,2.87906885374892,4.36899842615815
128.47867644225,37.1891885774296,"강원도","영월",24,17,12,15,10,16,26,32,32,32,25,23,18,20,7,9,12,22,26,23,15,18,17,11,16,12,5,9,6,11,21,20,26,23,20,17,16,11,5,6,10,7,20,23.3128627513954,17.5728570751998,12.7801418626428,14.9264501847704,10.065058748961,14.4101315794148,25.392582681711,32.7313859764655,31.8980439705366,29.8751931179788,25.2235440220093,21.8432114677727,17.3367643263446,19.1929577708023,8.30846444741434,10.0668292811239,10.2672744187598,21.216377908502,25.9542989035897,22.4293745261367,15.6451850270308,18.3495021742481,16.5825406609596,13.7626302722419,16.2309381485931,12.4889633561942,9.93880562311017,9.52718577811207,6.26447733863249,10.1233901644404,21.2341331103601,21.2356614498722,25.0741096376596,24.4924762463625,20.5301563613004,15.6196531599609,15.4569409044505,11.6544910290029,8.63973673538699,8.02416367591477,9.45444136067258,7.96937888218766,21.2070819822793,3.45403874448199,3.29002061133469,2.92848442042282,2.38195948725036,2.26443700271572,2.86222262042185,4.32840579930927,5.65391427602022,5.81248671664206,5.01841711662422,4.15132989256757,3.64188074311718,3.42903207801256,3.42009763394213,3.00636822547263,2.39429432244387,2.27044232234173,2.87486623543975,4.3294275408041,5.7129615614725,5.6321403061531,4.91136522387172,4.18428239098978,3.59416164933459,3.42132872846374,3.31791265716683,2.91308350479317,2.33356397178637,2.23351733581961,2.83881558039908,4.25738951916342,5.59088890196807,5.76864432869566,4.95151924995561,4.12851927777284,3.69202155237647,3.39894019967499,3.26618988641879,2.90300697550074,2.36737630823734,2.25295030429726,2.87906885374892,4.36899842615815
127.945939363138,37.3223782821555,"강원도","원주",26,23,17,17,12,16,23,31,30,28,24,21,16,21,10,13,9,16,22,29,22,26,24,17,18,17,13,14,7,14,25,22,31,25,21,18,17,13,13,10,8,7,24,26.1643842830096,23.8923348985953,16.8191024098899,15.3659763735466,11.6030659772655,15.4842062116575,22.0819780442918,32.2353582996294,31.1851421232419,28.8568403630652,25.4337543109546,20.5122331242314,17.0062547328692,19.6734155129942,9.05789806178273,12.3945144511277,9.37394909810792,16.6603702530975,21.6414741736373,28.3387162862305,21.2868315503301,27.3607453470692,25.8952709930553,17.1304485832316,18.2382015206419,17.6205774250983,11.7123373224965,12.0586075007015,6.44460804488467,13.3045324463632,24.6110013303143,22.4729935492572,30.7113338669049,25.1602512396566,21.4595111539015,16.6816083703293,16.0339173410563,12.2911928092194,12.9766050913273,9.41225124002026,7.62092075594927,7.65116410621982,22.553188075955,3.45403874448199,3.29002061133469,2.92848442042282,2.38195948725036,2.26443700271572,2.86222262042185,4.32840579930927,5.65391427602022,5.81248671664206,5.01841711662422,4.15132989256757,3.64188074311718,3.42903207801256,3.42009763394213,3.00636822547263,2.39429432244387,2.27044232234173,2.87486623543975,4.3294275408041,5.7129615614725,5.6321403061531,4.91136522387172,4.18428239098978,3.59416164933459,3.42132872846374,3.31791265716683,2.91308350479317,2.33356397178637,2.23351733581961,2.83881558039908,4.25738951916342,5.59088890196807,5.76864432869566,4.95151924995561,4.12851927777284,3.69202155237647,3.39894019967499,3.26618988641879,2.90300697550074,2.36737630823734,2.25295030429726,2.87906885374892,4.36899842615815
128.257267734557,38.0573751138257,"강원도","인제",22,16,14,14,8,11,15,25,21,22,18,18,12,17,8,9,8,14,18,21,15,20,18,12,12,10,8,6,2,7,15,15,19,19,14,13,13,8,6,6,5,6,13,21.3047008897399,15.0573011671475,13.1693244006261,14.2087113610379,8.53928948354661,11.4860810104679,14.3837409913512,24.6669841984357,22.7564922455901,22.5698834261792,18.4831860728,17.6836429831187,13.0604308442307,17.9262574856189,8.2924698466319,10.0769703539557,9.09372566096384,13.0238827514928,17.1531443207164,20.9840930758261,15.437836802026,18.4516053792159,16.34959032617,13.7423503543228,13.8903477691508,11.8460961976293,10.235060347129,9.26275646003871,6.10753909104545,8.83629252411342,14.7339647765932,13.7045140289476,17.2021106923099,17.2922155047329,16.9845102678511,15.633494586241,15.3286856789982,10.5985579304798,8.68420616708834,7.98475382601972,6.96797084422532,7.4274441737694,15.3140989480531,3.45403874448199,3.29002061133469,2.92848442042282,2.38195948725036,2.26443700271572,2.86222262042185,4.32840579930927,5.65391427602022,5.81248671664206,5.01841711662422,4.15132989256757,3.64188074311718,3.42903207801256,3.42009763394213,3.00636822547263,2.39429432244387,2.27044232234173,2.87486623543975,4.3294275408041,5.7129615614725,5.6321403061531,4.91136522387172,4.18428239098978,3.59416164933459,3.42132872846374,3.31791265716683,2.91308350479317,2.33356397178637,2.23351733581961,2.83881558039908,4.25738951916342,5.59088890196807,5.76864432869566,4.95151924995561,4.12851927777284,3.69202155237647,3.39894019967499,3.26618988641879,2.90300697550074,2.36737630823734,2.25295030429726,2.87906885374892,4.36899842615815
