"long","lat","CTPRV_NM","SGNG_NM","X2019.05","X2019.06","X2019.07","X2019.08","X2019.09","X2019.10","X2019.11","X2019.12","X2020.01","X2020.02","X2020.03","X2020.04","X2020.05","X2020.06","X2020.07","X2020.08","X2020.09","X2020.10","X2020.11","X2020.12","X2021.01","X2021.02","X2021.03","X2021.04","X2021.05","X2021.06","X2021.07","X2021.08","X2021.09","X2021.10","X2021.11","X2021.12","X2022.01","X2022.02","X2022.03","X2022.04","X2022.05","X2022.06","X2022.07","X2022.08","X2022.09","X2022.10","X2022.11"
127.753014222117,37.8892973170232,"강원도","춘천",24,17,14,13,8,13,21,30,31,29,25,20,16,19,9,10,10,18,23,29,23,27,25,17,17,15,10,9,5,10,24,22,29,24,20,17,14,10,8,7,8,12,18
127.848926379959,37.0084033442623,"충청북도","충주",29,26,18,17,11,16,24,30,29,27,23,19,17,19,9,13,11,18,23,28,22,26,24,16,18,17,10,10,8,16,26,23,30,26,26,20,18,14,15,11,12,15,27
128.45314995112,36.0129439128479,"경상북도","칠곡",19,16,14,15,14,15,24,30,28,27,22,20,19,18,12,16,13,17,24,28,24,26,26,20,22,24,16,16,11,16,23,24,26,24,25,18,19,16,18,10,10,13,25
128.975134046341,37.1885080020031,"강원도","태백",25,20,20,19,13,16,20,21,20,27,23,25,21,24,10,12,11,13,15,14,12,16,15,12,12,12,8,8,6,8,14,12,13,14,15,12,12,10,9,7,6,11,12
126.245707523912,36.6823677322903,"충청남도","태안",21,16,15,19,14,17,17,18,22,19,18,17,12,12,9,11,10,14,20,22,20,28,32,17,19,17,13,12,9,13,20,22,27,24,21,18,13,8,13,7,11,13,19
128.387024479724,34.761967611655,"경상남도","통영",23,21,15,15,10,9,13,14,13,20,13,13,15,12,7,13,9,10,11,16,15,16,18,13,14,12,8,8,9,13,18,16,19,16,19,14,14,8,9,9,13,12,15
126.805207572606,37.8553418915453,"경기도","파주",29,18,19,18,15,20,26,35,34,32,28,22,17,19,14,13,11,20,28,33,26,34,35,18,19,19,15,13,7,15,32,27,33,29,23,22,16,10,13,9,12,15,25
128.49187518206,37.5395513046401,"강원도","평창",25,19,16,17,11,13,20,29,25,27,21,20,15,19,9,11,10,11,23,8,16,18,16,10,14,12,11,10,6,9,19,18,23,21,17,15,14,9,4,7,6,7,22
127.035457877511,37.0477625676844,"경기도","평택",33,26,21,18,15,19,24,29,30,27,26,18,22,24,16,14,13,22,27,28,24,33,37,22,26,27,17,16,10,20,30,27,33,28,27,26,20,15,19,13,17,23,32
127.23333836271,37.9832807132315,"경기도","포천",24,16,15,13,9,14,24,33,33,29,27,20,15,16,9,9,7,16,23,32,25,30,29,17,16,17,13,11,6,14,29,27,34,29,22,21,17,12,12,10,9,13,25
129.399258100358,36.0624958827946,"경상북도","포항",23,17,14,16,13,13,19,22,21,20,15,15,15,16,11,16,15,16,18,20,17,21,20,18,19,18,12,13,10,14,20,19,21,20,22,17,17,12,12,11,12,15,24
127.188524997587,37.5134048728635,"경기도","하남",19,12,12,12,6,10,19,25,25,22,19,14,12,15,9,10,9,14,20,24,18,25,25,16,15,17,13,11,5,11,22,18,27,24,19,18,15,13,14,11,9,13,20
127.835684431712,35.0294388426597,"경상남도","하동",19,21,15,15,9,9,13,14,15,20,15,15,14,13,7,13,10,11,14,15,13,19,18,14,16,17,12,11,9,12,16,15,20,19,18,14,17,13,15,11,11,12,17
128.474840478348,35.282072426929,"경상남도","함안",16,17,12,12,10,12,19,23,22,22,18,16,16,14,10,15,14,16,21,24,22,25,23,17,17,18,15,14,10,14,20,20,23,19,19,13,16,12,13,10,12,16,24
127.741095092086,35.5599280615757,"경상남도","함양",17,17,11,12,9,11,16,20,21,19,17,17,17,18,9,12,17,14,17,19,20,22,24,15,19,19,12,9,7,11,17,16,18,18,18,15,13,13,11,6,8,11,16
126.538774301596,35.1150724895025,"전라남도","함평",24,23,15,17,13,17,19,23,30,25,20,18,15,14,7,13,12,18,19,23,24,29,31,18,17,16,11,10,9,15,20,23,27,25,18,14,15,11,11,9,12,13,16
128.162269046832,35.5762206835168,"경상남도","합천",20,20,15,16,12,12,15,17,17,16,14,14,14,16,10,16,12,12,15,17,16,18,17,14,15,18,11,11,9,13,15,15,19,17,16,18,19,16,17,13,12,13,21
126.476208906192,34.5117567786041,"전라남도","해남",23,25,17,16,11,14,16,12,20,21,16,16,18,16,9,14,18,15,14,17,16,21,25,16,19,16,9,9,9,11,18,19,19,21,18,18,16,13,12,10,13,9,14
126.606468744652,36.5605655741119,"충청남도","홍성",27,21,18,18,16,23,26,30,34,30,27,21,20,19,13,13,13,22,27,29,27,35,37,20,20,18,13,13,9,16,24,26,30,26,26,22,16,11,14,9,13,19,27
128.016120322818,37.7376274871818,"강원도","홍천",21,15,11,14,9,16,26,36,34,32,28,23,17,21,8,10,8,15,23,33,25,24,20,15,18,15,10,10,6,10,23,23,33,28,21,18,16,12,10,10,8,9,20
126.876599320837,37.1835639257313,"경기도","화성",31,23,22,17,16,20,25,32,32,28,26,20,21,24,16,15,14,21,26,27,22,30,36,20,24,24,16,15,9,16,26,25,31,27,25,24,19,14,17,11,15,20,28
127.013621771194,35.0146932294001,"전라남도","화순",20,20,12,16,11,12,15,17,24,22,17,18,14,14,10,14,12,14,15,17,15,17,17,13,13,14,9,9,8,13,16,17,23,22,15,14,16,11,10,9,11,11,15
127.689637490931,38.1096281329391,"강원도","화천",20,14,11,11,7,11,17,26,23,24,21,18,13,15,8,8,8,13,18,23,20,26,23,15,13,12,8,9,6,11,20,26,29,27,20,18,16,11,9,8,6,6,18
128.022240471594,37.4815174051846,"강원도","횡성",26,20,15,16,10,17,24,35,34,34,27,20,14,18,8,10,7,16,22,29,22,26,24,15,15,14,10,9,6,11,24,21,31,26,21,18,15,11,9,7,6,8,21
